True Label,Predicted As,Count,Example 1,Example 2,Example 3,All Files
okapi,parrot,2,okapi_57.jpg,okapi_6.jpg,,"okapi_57.jpg, okapi_6.jpg"
ox,parrot,2,ox_20.jpg,ox_60.jpg,,"ox_20.jpg, ox_60.jpg"
donkey,crow,2,donkey_15.jpg,donkey_22.jpg,,"donkey_15.jpg, donkey_22.jpg"
fly,crow,2,fly_26.jpg,fly_60.jpg,,"fly_26.jpg, fly_60.jpg"
bison,crow,2,bison_28.jpg,bison_48.jpg,,"bison_28.jpg, bison_48.jpg"
crab,parrot,2,crab_31.jpg,crab_4.jpg,,"crab_31.jpg, crab_4.jpg"
dragonfly,parrot,2,dragonfly_4.jpg,dragonfly_59.jpg,,"dragonfly_4.jpg, dragonfly_59.jpg"
fox,parrot,2,fox_25.jpg,fox_28.jpg,,"fox_25.jpg, fox_28.jpg"
bear,parrot,2,bear_10.jpg,bear_4.jpg,,"bear_10.jpg, bear_4.jpg"
beetle,parrot,2,beetle_15.jpg,beetle_43.jpg,,"beetle_15.jpg, beetle_43.jpg"
butterfly,parrot,2,butterfly_33.jpg,butterfly_60.jpg,,"butterfly_33.jpg, butterfly_60.jpg"
parrot,penguin,2,parrot_11.jpg,parrot_51.jpg,,"parrot_11.jpg, parrot_51.jpg"
pelecaniformes,penguin,2,pelecaniformes_55.jpg,pelecaniformes_59.jpg,,"pelecaniformes_55.jpg, pelecaniformes_59.jpg"
coyote,parrot,2,coyote_13.jpg,coyote_57.jpg,,"coyote_13.jpg, coyote_57.jpg"
lobster,crab,2,lobster_40.jpg,lobster_8.jpg,,"lobster_40.jpg, lobster_8.jpg"
cockroach,crab,2,cockroach_31.jpg,cockroach_52.jpg,,"cockroach_31.jpg, cockroach_52.jpg"
coyote,crab,2,coyote_21.jpg,coyote_22.jpg,,"coyote_21.jpg, coyote_22.jpg"
deer,crab,2,deer_3.jpg,deer_8.jpg,,"deer_3.jpg, deer_8.jpg"
tiger,coyote,2,tiger_27.jpg,tiger_53.jpg,,"tiger_27.jpg, tiger_53.jpg"
woodpecker,coyote,2,woodpecker_29.jpg,woodpecker_60.jpg,,"woodpecker_29.jpg, woodpecker_60.jpg"
oyster,parrot,2,oyster_15.jpg,oyster_8.jpg,,"oyster_15.jpg, oyster_8.jpg"
porcupine,panda,2,porcupine_35.jpg,porcupine_4.jpg,,"porcupine_35.jpg, porcupine_4.jpg"
flamingo,panda,2,flamingo_10.jpg,flamingo_53.jpg,,"flamingo_10.jpg, flamingo_53.jpg"
coyote,panda,2,coyote_18.jpg,coyote_46.jpg,,"coyote_18.jpg, coyote_46.jpg"
duck,panda,2,duck_14.jpg,duck_29.jpg,,"duck_14.jpg, duck_29.jpg"
eagle,panda,2,eagle_14.jpg,eagle_8.jpg,,"eagle_14.jpg, eagle_8.jpg"
wombat,oyster,2,wombat_31.jpg,wombat_32.jpg,,"wombat_31.jpg, wombat_32.jpg"
bison,deer,2,bison_11.jpg,bison_25.jpg,,"bison_11.jpg, bison_25.jpg"
cat,deer,2,cat_29.jpg,cat_33.jpg,,"cat_29.jpg, cat_33.jpg"
grasshopper,caterpillar,2,grasshopper_57.jpg,grasshopper_6.jpg,,"grasshopper_57.jpg, grasshopper_6.jpg"
koala,caterpillar,2,koala_3.jpg,koala_32.jpg,,"koala_3.jpg, koala_32.jpg"
horse,rhinoceros,2,horse_18.jpg,horse_3.jpg,,"horse_18.jpg, horse_3.jpg"
koala,rhinoceros,2,koala_1.jpg,koala_7.jpg,,"koala_1.jpg, koala_7.jpg"
okapi,oyster,2,okapi_2.jpg,okapi_21.jpg,,"okapi_2.jpg, okapi_21.jpg"
hyena,oyster,2,hyena_17.jpg,hyena_45.jpg,,"hyena_17.jpg, hyena_45.jpg"
cow,oyster,2,cow_27.jpg,cow_33.jpg,,"cow_27.jpg, cow_33.jpg"
dog,oyster,2,dog_13.jpg,dog_40.jpg,,"dog_13.jpg, dog_40.jpg"
donkey,seahorse,2,donkey_42.jpg,donkey_54.jpg,,"donkey_42.jpg, donkey_54.jpg"
rhinoceros,sandpiper,2,rhinoceros_19.jpg,rhinoceros_40.jpg,,"rhinoceros_19.jpg, rhinoceros_40.jpg"
coyote,caterpillar,2,coyote_1.jpg,coyote_4.jpg,,"coyote_1.jpg, coyote_4.jpg"
dog,caterpillar,2,dog_3.jpg,dog_57.jpg,,"dog_3.jpg, dog_57.jpg"
fly,caterpillar,2,fly_35.jpg,fly_7.jpg,,"fly_35.jpg, fly_7.jpg"
pig,cat,2,pig_40.jpg,pig_6.jpg,,"pig_40.jpg, pig_6.jpg"
seal,reindeer,2,seal_26.jpg,seal_8.jpg,,"seal_26.jpg, seal_8.jpg"
swan,reindeer,2,swan_15.jpg,swan_7.jpg,,"swan_15.jpg, swan_7.jpg"
bison,panda,2,bison_12.jpg,bison_38.jpg,,"bison_12.jpg, bison_38.jpg"
lobster,oyster,2,lobster_2.jpg,lobster_53.jpg,,"lobster_2.jpg, lobster_53.jpg"
oyster,sandpiper,2,oyster_35.jpg,oyster_55.jpg,,"oyster_35.jpg, oyster_55.jpg"
penguin,sandpiper,2,penguin_2.jpg,penguin_33.jpg,,"penguin_2.jpg, penguin_33.jpg"
pig,sandpiper,2,pig_31.jpg,pig_42.jpg,,"pig_31.jpg, pig_42.jpg"
turtle,seahorse,2,turtle_26.jpg,turtle_28.jpg,,"turtle_26.jpg, turtle_28.jpg"
octopus,seahorse,2,octopus_19.jpg,octopus_21.jpg,,"octopus_19.jpg, octopus_21.jpg"
wolf,sandpiper,2,wolf_2.jpg,wolf_29.jpg,,"wolf_2.jpg, wolf_29.jpg"
deer,sandpiper,2,deer_30.jpg,deer_50.jpg,,"deer_30.jpg, deer_50.jpg"
dog,sandpiper,2,dog_44.jpg,dog_59.jpg,,"dog_44.jpg, dog_59.jpg"
snake,sandpiper,2,snake_13.jpg,snake_14.jpg,,"snake_13.jpg, snake_14.jpg"
sparrow,sandpiper,2,sparrow_14.jpg,sparrow_49.jpg,,"sparrow_14.jpg, sparrow_49.jpg"
fly,owl,2,fly_12.jpg,fly_14.jpg,,"fly_12.jpg, fly_14.jpg"
bison,owl,2,bison_55.jpg,bison_58.jpg,,"bison_55.jpg, bison_58.jpg"
boar,owl,2,boar_29.jpg,boar_40.jpg,,"boar_29.jpg, boar_40.jpg"
butterfly,owl,2,butterfly_12.jpg,butterfly_16.jpg,,"butterfly_12.jpg, butterfly_16.jpg"
tiger,seal,2,tiger_2.jpg,tiger_39.jpg,,"tiger_2.jpg, tiger_39.jpg"
duck,sandpiper,2,duck_24.jpg,duck_3.jpg,,"duck_24.jpg, duck_3.jpg"
grasshopper,butterfly,2,grasshopper_43.jpg,grasshopper_59.jpg,,"grasshopper_43.jpg, grasshopper_59.jpg"
jellyfish,butterfly,2,jellyfish_12.jpg,jellyfish_19.jpg,,"jellyfish_12.jpg, jellyfish_19.jpg"
crow,butterfly,2,crow_20.jpg,crow_33.jpg,,"crow_20.jpg, crow_33.jpg"
reindeer,sandpiper,2,reindeer_37.jpg,reindeer_55.jpg,,"reindeer_37.jpg, reindeer_55.jpg"
ladybugs,sandpiper,2,ladybugs_2.jpg,ladybugs_55.jpg,,"ladybugs_2.jpg, ladybugs_55.jpg"
hippopotamus,sandpiper,2,hippopotamus_10.jpg,hippopotamus_29.jpg,,"hippopotamus_10.jpg, hippopotamus_29.jpg"
pigeon,seal,2,pigeon_16.jpg,pigeon_18.jpg,,"pigeon_16.jpg, pigeon_18.jpg"
pig,seal,2,pig_19.jpg,pig_2.jpg,,"pig_19.jpg, pig_2.jpg"
sandpiper,seal,2,sandpiper_31.jpg,sandpiper_48.jpg,,"sandpiper_31.jpg, sandpiper_48.jpg"
otter,seal,2,otter_28.jpg,otter_55.jpg,,"otter_28.jpg, otter_55.jpg"
oyster,seal,2,oyster_27.jpg,oyster_56.jpg,,"oyster_27.jpg, oyster_56.jpg"
eagle,shark,2,eagle_47.jpg,eagle_9.jpg,,"eagle_47.jpg, eagle_9.jpg"
goat,shark,2,goat_16.jpg,goat_54.jpg,,"goat_16.jpg, goat_54.jpg"
swan,seal,2,swan_20.jpg,swan_37.jpg,,"swan_20.jpg, swan_37.jpg"
rhinoceros,crow,2,rhinoceros_15.jpg,rhinoceros_49.jpg,,"rhinoceros_15.jpg, rhinoceros_49.jpg"
sparrow,crow,2,sparrow_25.jpg,sparrow_55.jpg,,"sparrow_25.jpg, sparrow_55.jpg"
hyena,crow,2,hyena_4.jpg,hyena_6.jpg,,"hyena_4.jpg, hyena_6.jpg"
kangaroo,crow,2,kangaroo_22.jpg,kangaroo_44.jpg,,"kangaroo_22.jpg, kangaroo_44.jpg"
gorilla,otter,2,gorilla_16.jpg,gorilla_32.jpg,,"gorilla_16.jpg, gorilla_32.jpg"
wolf,otter,2,wolf_4.jpg,wolf_42.jpg,,"wolf_4.jpg, wolf_42.jpg"
reindeer,otter,2,reindeer_5.jpg,reindeer_6.jpg,,"reindeer_5.jpg, reindeer_6.jpg"
elephant,owl,2,elephant_36.jpg,elephant_48.jpg,,"elephant_36.jpg, elephant_48.jpg"
possum,orangutan,2,possum_23.jpg,possum_37.jpg,,"possum_23.jpg, possum_37.jpg"
horse,dog,2,horse_59.jpg,horse_6.jpg,,"horse_59.jpg, horse_6.jpg"
caterpillar,dog,2,caterpillar_15.jpg,caterpillar_33.jpg,,"caterpillar_15.jpg, caterpillar_33.jpg"
parrot,octopus,2,parrot_58.jpg,parrot_6.jpg,,"parrot_58.jpg, parrot_6.jpg"
pig,octopus,2,pig_4.jpg,pig_48.jpg,,"pig_4.jpg, pig_48.jpg"
seahorse,octopus,2,seahorse_14.jpg,seahorse_37.jpg,,"seahorse_14.jpg, seahorse_37.jpg"
oyster,octopus,2,oyster_38.jpg,oyster_39.jpg,,"oyster_38.jpg, oyster_39.jpg"
jellyfish,octopus,2,jellyfish_27.jpg,jellyfish_47.jpg,,"jellyfish_27.jpg, jellyfish_47.jpg"
oyster,orangutan,2,oyster_30.jpg,oyster_54.jpg,,"oyster_30.jpg, oyster_54.jpg"
panda,orangutan,2,panda_44.jpg,panda_47.jpg,,"panda_44.jpg, panda_47.jpg"
pelecaniformes,orangutan,2,pelecaniformes_1.jpg,pelecaniformes_58.jpg,,"pelecaniformes_1.jpg, pelecaniformes_58.jpg"
hornbill,orangutan,2,hornbill_4.jpg,hornbill_57.jpg,,"hornbill_4.jpg, hornbill_57.jpg"
kangaroo,orangutan,2,kangaroo_27.jpg,kangaroo_42.jpg,,"kangaroo_27.jpg, kangaroo_42.jpg"
starfish,orangutan,2,starfish_28.jpg,starfish_57.jpg,,"starfish_28.jpg, starfish_57.jpg"
swan,orangutan,2,swan_44.jpg,swan_53.jpg,,"swan_44.jpg, swan_53.jpg"
wolf,orangutan,2,wolf_27.jpg,wolf_49.jpg,,"wolf_27.jpg, wolf_49.jpg"
possum,deer,2,possum_25.jpg,possum_32.jpg,,"possum_25.jpg, possum_32.jpg"
mouse,deer,2,mouse_12.jpg,mouse_9.jpg,,"mouse_12.jpg, mouse_9.jpg"
koala,orangutan,2,koala_15.jpg,koala_51.jpg,,"koala_15.jpg, koala_51.jpg"
duck,orangutan,2,duck_1.jpg,duck_42.jpg,,"duck_1.jpg, duck_42.jpg"
eagle,orangutan,2,eagle_3.jpg,eagle_38.jpg,,"eagle_3.jpg, eagle_38.jpg"
goldfish,orangutan,2,goldfish_1.jpg,goldfish_15.jpg,,"goldfish_1.jpg, goldfish_15.jpg"
seal,orangutan,2,seal_32.jpg,seal_39.jpg,,"seal_32.jpg, seal_39.jpg"
sheep,orangutan,2,sheep_47.jpg,sheep_7.jpg,,"sheep_47.jpg, sheep_7.jpg"
chimpanzee,owl,2,chimpanzee_21.jpg,chimpanzee_33.jpg,,"chimpanzee_21.jpg, chimpanzee_33.jpg"
squirrel,otter,2,squirrel_10.jpg,squirrel_26.jpg,,"squirrel_10.jpg, squirrel_26.jpg"
swan,owl,2,swan_22.jpg,swan_33.jpg,,"swan_22.jpg, swan_33.jpg"
leopard,owl,2,leopard_17.jpg,leopard_23.jpg,,"leopard_17.jpg, leopard_23.jpg"
otter,owl,2,otter_32.jpg,otter_58.jpg,,"otter_32.jpg, otter_58.jpg"
goldfish,owl,2,goldfish_37.jpg,goldfish_55.jpg,,"goldfish_37.jpg, goldfish_55.jpg"
goose,owl,2,goose_2.jpg,goose_46.jpg,,"goose_2.jpg, goose_46.jpg"
wombat,deer,2,wombat_10.jpg,wombat_14.jpg,,"wombat_10.jpg, wombat_14.jpg"
squirrel,dog,2,squirrel_35.jpg,squirrel_43.jpg,,"squirrel_35.jpg, squirrel_43.jpg"
turkey,dog,2,turkey_35.jpg,turkey_7.jpg,,"turkey_35.jpg, turkey_7.jpg"
panda,dog,2,panda_14.jpg,panda_50.jpg,,"panda_14.jpg, panda_50.jpg"
chimpanzee,mouse,2,chimpanzee_34.jpg,chimpanzee_57.jpg,,"chimpanzee_34.jpg, chimpanzee_57.jpg"
crow,mouse,2,crow_25.jpg,crow_35.jpg,,"crow_25.jpg, crow_35.jpg"
tiger,moth,2,tiger_51.jpg,tiger_57.jpg,,"tiger_51.jpg, tiger_57.jpg"
porcupine,moth,2,porcupine_31.jpg,porcupine_57.jpg,,"porcupine_31.jpg, porcupine_57.jpg"
reindeer,moth,2,reindeer_12.jpg,reindeer_39.jpg,,"reindeer_12.jpg, reindeer_39.jpg"
hummingbird,deer,2,hummingbird_34.jpg,hummingbird_60.jpg,,"hummingbird_34.jpg, hummingbird_60.jpg"
chimpanzee,orangutan,2,chimpanzee_17.jpg,chimpanzee_26.jpg,,"chimpanzee_17.jpg, chimpanzee_26.jpg"
bee,orangutan,2,bee_52.jpg,bee_9.jpg,,"bee_52.jpg, bee_9.jpg"
seahorse,okapi,2,seahorse_41.jpg,seahorse_9.jpg,,"seahorse_41.jpg, seahorse_9.jpg"
sheep,okapi,2,sheep_45.jpg,sheep_52.jpg,,"sheep_45.jpg, sheep_52.jpg"
mouse,okapi,2,mouse_15.jpg,mouse_29.jpg,,"mouse_15.jpg, mouse_29.jpg"
swan,dolphin,2,swan_47.jpg,swan_54.jpg,,"swan_47.jpg, swan_54.jpg"
jellyfish,dolphin,2,jellyfish_13.jpg,jellyfish_16.jpg,,"jellyfish_13.jpg, jellyfish_16.jpg"
oyster,okapi,2,oyster_17.jpg,oyster_47.jpg,,"oyster_17.jpg, oyster_47.jpg"
pigeon,okapi,2,pigeon_35.jpg,pigeon_45.jpg,,"pigeon_35.jpg, pigeon_45.jpg"
ladybugs,okapi,2,ladybugs_13.jpg,ladybugs_22.jpg,,"ladybugs_13.jpg, ladybugs_22.jpg"
lizard,okapi,2,lizard_33.jpg,lizard_50.jpg,,"lizard_33.jpg, lizard_50.jpg"
cockroach,okapi,2,cockroach_41.jpg,cockroach_45.jpg,,"cockroach_41.jpg, cockroach_45.jpg"
crab,okapi,2,crab_43.jpg,crab_59.jpg,,"crab_43.jpg, crab_59.jpg"
goat,okapi,2,goat_2.jpg,goat_4.jpg,,"goat_2.jpg, goat_4.jpg"
grasshopper,deer,2,grasshopper_22.jpg,grasshopper_4.jpg,,"grasshopper_22.jpg, grasshopper_4.jpg"
hamster,okapi,2,hamster_42.jpg,hamster_43.jpg,,"hamster_42.jpg, hamster_43.jpg"
snake,octopus,2,snake_16.jpg,snake_59.jpg,,"snake_16.jpg, snake_59.jpg"
tiger,octopus,2,tiger_26.jpg,tiger_28.jpg,,"tiger_26.jpg, tiger_28.jpg"
ladybugs,dog,2,ladybugs_49.jpg,ladybugs_51.jpg,,"ladybugs_49.jpg, ladybugs_51.jpg"
lobster,dog,2,lobster_19.jpg,lobster_51.jpg,,"lobster_19.jpg, lobster_51.jpg"
mouse,dog,2,mouse_20.jpg,mouse_24.jpg,,"mouse_20.jpg, mouse_24.jpg"
otter,dog,2,otter_3.jpg,otter_5.jpg,,"otter_3.jpg, otter_5.jpg"
hamster,dog,2,hamster_38.jpg,hamster_7.jpg,,"hamster_38.jpg, hamster_7.jpg"
turtle,boar,2,turtle_12.jpg,turtle_56.jpg,,"turtle_12.jpg, turtle_56.jpg"
beetle,butterfly,2,beetle_2.jpg,beetle_33.jpg,,"beetle_2.jpg, beetle_33.jpg"
whale,seal,2,whale_35.jpg,whale_7.jpg,,"whale_35.jpg, whale_7.jpg"
koala,mouse,2,koala_10.jpg,koala_45.jpg,,"koala_10.jpg, koala_45.jpg"
mosquito,mouse,2,mosquito_19.jpg,mosquito_30.jpg,,"mosquito_19.jpg, mosquito_30.jpg"
elephant,mouse,2,elephant_44.jpg,elephant_53.jpg,,"elephant_44.jpg, elephant_53.jpg"
caterpillar,mouse,2,caterpillar_10.jpg,caterpillar_52.jpg,,"caterpillar_10.jpg, caterpillar_52.jpg"
flamingo,octopus,2,flamingo_42.jpg,flamingo_6.jpg,,"flamingo_42.jpg, flamingo_6.jpg"
raccoon,boar,2,raccoon_12.jpg,raccoon_6.jpg,,"raccoon_12.jpg, raccoon_6.jpg"
lobster,boar,2,lobster_12.jpg,lobster_27.jpg,,"lobster_12.jpg, lobster_27.jpg"
gorilla,boar,2,gorilla_3.jpg,gorilla_39.jpg,,"gorilla_3.jpg, gorilla_39.jpg"
hare,boar,2,hare_15.jpg,hare_25.jpg,,"hare_15.jpg, hare_25.jpg"
hedgehog,boar,2,hedgehog_22.jpg,hedgehog_55.jpg,,"hedgehog_22.jpg, hedgehog_55.jpg"
lion,seal,2,lion_41.jpg,lion_44.jpg,,"lion_41.jpg, lion_44.jpg"
duck,seal,2,duck_28.jpg,duck_39.jpg,,"duck_28.jpg, duck_39.jpg"
cow,seal,2,cow_14.jpg,cow_32.jpg,,"cow_14.jpg, cow_32.jpg"
deer,boar,2,deer_26.jpg,deer_53.jpg,,"deer_26.jpg, deer_53.jpg"
panda,snake,2,panda_10.jpg,panda_56.jpg,,"panda_10.jpg, panda_56.jpg"
lion,snake,2,lion_24.jpg,lion_37.jpg,,"lion_24.jpg, lion_37.jpg"
okapi,snake,2,okapi_22.jpg,okapi_46.jpg,,"okapi_22.jpg, okapi_46.jpg"
orangutan,snake,2,orangutan_33.jpg,orangutan_45.jpg,,"orangutan_33.jpg, orangutan_45.jpg"
hippopotamus,snake,2,hippopotamus_5.jpg,hippopotamus_7.jpg,,"hippopotamus_5.jpg, hippopotamus_7.jpg"
hornbill,snake,2,hornbill_29.jpg,hornbill_44.jpg,,"hornbill_29.jpg, hornbill_44.jpg"
parrot,boar,2,parrot_33.jpg,parrot_46.jpg,,"parrot_33.jpg, parrot_46.jpg"
seal,moth,2,seal_27.jpg,seal_47.jpg,,"seal_27.jpg, seal_47.jpg"
seal,dolphin,2,seal_48.jpg,seal_5.jpg,,"seal_48.jpg, seal_5.jpg"
turkey,mouse,2,turkey_13.jpg,turkey_38.jpg,,"turkey_13.jpg, turkey_38.jpg"
donkey,snake,2,donkey_34.jpg,donkey_52.jpg,,"donkey_34.jpg, donkey_52.jpg"
turkey,sheep,2,turkey_12.jpg,turkey_20.jpg,,"turkey_12.jpg, turkey_20.jpg"
zebra,sheep,2,zebra_36.jpg,zebra_55.jpg,,"zebra_36.jpg, zebra_55.jpg"
badger,snake,2,badger_23.jpg,badger_38.jpg,,"badger_23.jpg, badger_38.jpg"
bear,snake,2,bear_14.jpg,bear_46.jpg,,"bear_14.jpg, bear_46.jpg"
goldfish,moth,2,goldfish_23.jpg,goldfish_54.jpg,,"goldfish_23.jpg, goldfish_54.jpg"
bison,moth,2,bison_27.jpg,bison_46.jpg,,"bison_27.jpg, bison_46.jpg"
boar,moth,2,boar_43.jpg,boar_47.jpg,,"boar_43.jpg, boar_47.jpg"
sparrow,leopard,2,sparrow_12.jpg,sparrow_42.jpg,,"sparrow_12.jpg, sparrow_42.jpg"
lizard,leopard,2,lizard_34.jpg,lizard_7.jpg,,"lizard_34.jpg, lizard_7.jpg"
moth,leopard,2,moth_10.jpg,moth_57.jpg,,"moth_10.jpg, moth_57.jpg"
oyster,leopard,2,oyster_3.jpg,oyster_48.jpg,,"oyster_3.jpg, oyster_48.jpg"
hamster,leopard,2,hamster_52.jpg,hamster_58.jpg,,"hamster_52.jpg, hamster_58.jpg"
bat,moth,2,bat_24.jpg,bat_57.jpg,,"bat_24.jpg, bat_57.jpg"
owl,donkey,2,owl_25.jpg,owl_39.jpg,,"owl_25.jpg, owl_39.jpg"
ox,donkey,2,ox_14.jpg,ox_34.jpg,,"ox_14.jpg, ox_34.jpg"
penguin,dog,2,penguin_21.jpg,penguin_48.jpg,,"penguin_21.jpg, penguin_48.jpg"
pig,dog,2,pig_35.jpg,pig_57.jpg,,"pig_35.jpg, pig_57.jpg"
okapi,moth,2,okapi_41.jpg,okapi_5.jpg,,"okapi_41.jpg, okapi_5.jpg"
pelecaniformes,moth,2,pelecaniformes_19.jpg,pelecaniformes_6.jpg,,"pelecaniformes_19.jpg, pelecaniformes_6.jpg"
elephant,moth,2,elephant_25.jpg,elephant_27.jpg,,"elephant_25.jpg, elephant_27.jpg"
moth,lobster,2,moth_26.jpg,moth_4.jpg,,"moth_26.jpg, moth_4.jpg"
cockroach,lobster,2,cockroach_22.jpg,cockroach_47.jpg,,"cockroach_22.jpg, cockroach_47.jpg"
sparrow,lizard,2,sparrow_16.jpg,sparrow_28.jpg,,"sparrow_16.jpg, sparrow_28.jpg"
eagle,donkey,2,eagle_16.jpg,eagle_54.jpg,,"eagle_16.jpg, eagle_54.jpg"
chimpanzee,donkey,2,chimpanzee_30.jpg,chimpanzee_47.jpg,,"chimpanzee_30.jpg, chimpanzee_47.jpg"
cat,moth,2,cat_11.jpg,cat_6.jpg,,"cat_11.jpg, cat_6.jpg"
parrot,mosquito,2,parrot_10.jpg,parrot_60.jpg,,"parrot_10.jpg, parrot_60.jpg"
penguin,mosquito,2,penguin_32.jpg,penguin_7.jpg,,"penguin_32.jpg, penguin_7.jpg"
goldfish,octopus,2,goldfish_18.jpg,goldfish_22.jpg,,"goldfish_18.jpg, goldfish_22.jpg"
antelope,octopus,2,antelope_21.jpg,antelope_34.jpg,,"antelope_21.jpg, antelope_34.jpg"
boar,octopus,2,boar_45.jpg,boar_53.jpg,,"boar_45.jpg, boar_53.jpg"
rhinoceros,mouse,2,rhinoceros_1.jpg,rhinoceros_13.jpg,,"rhinoceros_1.jpg, rhinoceros_13.jpg"
seahorse,mouse,2,seahorse_18.jpg,seahorse_24.jpg,,"seahorse_18.jpg, seahorse_24.jpg"
starfish,mouse,2,starfish_33.jpg,starfish_37.jpg,,"starfish_33.jpg, starfish_37.jpg"
coyote,donkey,2,coyote_27.jpg,coyote_40.jpg,,"coyote_27.jpg, coyote_40.jpg"
crow,donkey,2,crow_4.jpg,crow_52.jpg,,"crow_4.jpg, crow_52.jpg"
rhinoceros,koala,2,rhinoceros_33.jpg,rhinoceros_35.jpg,,"rhinoceros_33.jpg, rhinoceros_35.jpg"
swan,koala,2,swan_40.jpg,swan_60.jpg,,"swan_40.jpg, swan_60.jpg"
panda,koala,2,panda_4.jpg,panda_60.jpg,,"panda_4.jpg, panda_60.jpg"
pig,koala,2,pig_18.jpg,pig_7.jpg,,"pig_18.jpg, pig_7.jpg"
possum,koala,2,possum_42.jpg,possum_57.jpg,,"possum_42.jpg, possum_57.jpg"
goldfish,duck,2,goldfish_29.jpg,goldfish_60.jpg,,"goldfish_29.jpg, goldfish_60.jpg"
possum,ladybugs,2,possum_20.jpg,possum_34.jpg,,"possum_20.jpg, possum_34.jpg"
lobster,ladybugs,2,lobster_57.jpg,lobster_59.jpg,,"lobster_57.jpg, lobster_59.jpg"
coyote,lizard,2,coyote_23.jpg,coyote_44.jpg,,"coyote_23.jpg, coyote_44.jpg"
deer,lizard,2,deer_16.jpg,deer_2.jpg,,"deer_16.jpg, deer_2.jpg"
turkey,lion,2,turkey_51.jpg,turkey_9.jpg,,"turkey_51.jpg, turkey_9.jpg"
bee,duck,2,bee_29.jpg,bee_35.jpg,,"bee_29.jpg, bee_35.jpg"
caterpillar,duck,2,caterpillar_51.jpg,caterpillar_59.jpg,,"caterpillar_51.jpg, caterpillar_59.jpg"
cat,duck,2,cat_17.jpg,cat_31.jpg,,"cat_17.jpg, cat_31.jpg"
sandpiper,dragonfly,2,sandpiper_18.jpg,sandpiper_42.jpg,,"sandpiper_18.jpg, sandpiper_42.jpg"
antelope,duck,2,antelope_32.jpg,antelope_37.jpg,,"antelope_32.jpg, antelope_37.jpg"
badger,lion,2,badger_14.jpg,badger_7.jpg,,"badger_14.jpg, badger_7.jpg"
bison,lion,2,bison_41.jpg,bison_5.jpg,,"bison_41.jpg, bison_5.jpg"
grasshopper,dragonfly,2,grasshopper_40.jpg,grasshopper_52.jpg,,"grasshopper_40.jpg, grasshopper_52.jpg"
wombat,donkey,2,wombat_3.jpg,wombat_52.jpg,,"wombat_3.jpg, wombat_52.jpg"
ladybugs,lizard,2,ladybugs_48.jpg,ladybugs_58.jpg,,"ladybugs_48.jpg, ladybugs_58.jpg"
mouse,lizard,2,mouse_16.jpg,mouse_53.jpg,,"mouse_16.jpg, mouse_53.jpg"
goose,lizard,2,goose_16.jpg,goose_60.jpg,,"goose_16.jpg, goose_60.jpg"
hare,lizard,2,hare_12.jpg,hare_39.jpg,,"hare_12.jpg, hare_39.jpg"
hummingbird,leopard,2,hummingbird_10.jpg,hummingbird_33.jpg,,"hummingbird_10.jpg, hummingbird_33.jpg"
beetle,dragonfly,2,beetle_44.jpg,beetle_9.jpg,,"beetle_44.jpg, beetle_9.jpg"
butterfly,dragonfly,2,butterfly_10.jpg,butterfly_29.jpg,,"butterfly_10.jpg, butterfly_29.jpg"
starfish,donkey,2,starfish_5.jpg,starfish_6.jpg,,"starfish_5.jpg, starfish_6.jpg"
raccoon,donkey,2,raccoon_10.jpg,raccoon_19.jpg,,"raccoon_10.jpg, raccoon_19.jpg"
sandpiper,donkey,2,sandpiper_22.jpg,sandpiper_43.jpg,,"sandpiper_22.jpg, sandpiper_43.jpg"
lizard,lion,2,lizard_10.jpg,lizard_37.jpg,,"lizard_10.jpg, lizard_37.jpg"
hummingbird,lion,2,hummingbird_18.jpg,hummingbird_35.jpg,,"hummingbird_18.jpg, hummingbird_35.jpg"
tiger,ladybugs,2,tiger_15.jpg,tiger_8.jpg,,"tiger_15.jpg, tiger_8.jpg"
turkey,ladybugs,2,turkey_11.jpg,turkey_50.jpg,,"turkey_11.jpg, turkey_50.jpg"
bear,leopard,2,bear_30.jpg,bear_52.jpg,,"bear_30.jpg, bear_52.jpg"
panda,ladybugs,2,panda_30.jpg,panda_8.jpg,,"panda_30.jpg, panda_8.jpg"
porcupine,ladybugs,2,porcupine_11.jpg,porcupine_9.jpg,,"porcupine_11.jpg, porcupine_9.jpg"
lobster,duck,2,lobster_21.jpg,lobster_45.jpg,,"lobster_21.jpg, lobster_45.jpg"
pig,kangaroo,2,pig_14.jpg,pig_39.jpg,,"pig_14.jpg, pig_39.jpg"
seal,kangaroo,2,seal_16.jpg,seal_2.jpg,,"seal_16.jpg, seal_2.jpg"
antelope,boar,2,antelope_12.jpg,antelope_26.jpg,,"antelope_12.jpg, antelope_26.jpg"
possum,bison,2,possum_33.jpg,possum_38.jpg,,"possum_33.jpg, possum_38.jpg"
seahorse,bison,2,seahorse_1.jpg,seahorse_31.jpg,,"seahorse_1.jpg, seahorse_31.jpg"
sparrow,bison,2,sparrow_48.jpg,sparrow_54.jpg,,"sparrow_48.jpg, sparrow_54.jpg"
moth,ladybugs,2,moth_12.jpg,moth_51.jpg,,"moth_12.jpg, moth_51.jpg"
grasshopper,ladybugs,2,grasshopper_18.jpg,grasshopper_37.jpg,,"grasshopper_18.jpg, grasshopper_37.jpg"
hamster,ladybugs,2,hamster_29.jpg,hamster_31.jpg,,"hamster_29.jpg, hamster_31.jpg"
